"Timestamp","Please choose the best model of this building. [Shape]","Please choose the best model of this building. [Texture]","Please choose the best model of this animal. [Shape]","Please choose the best model of this animal. [Texture]","Please choose the best model of this tree. [Shape]","Please choose the best model of this tree. [Texture]","Please choose the best model of the Statue of Liberty. [Shape]","Please choose the best model of the Statue of Liberty. [Texture]","Please choose the best model of this armchair. [Shape]","Please choose the best model of this armchair. [Texture]","Please choose the best model of this car. [Shape]","Please choose the best model of this car. [Texture]","Please choose the best model of this spaceship toy. [Shape]","Please choose the best model of this spaceship toy. [Texture]","Please choose the best model of the Eiffel Tower. [Shape]","Please choose the best model of the Eiffel Tower. [Texture]","Please choose the best model of this football. [Shape]","Please choose the best model of this football. [Texture]","Please choose the best model of this office chair. [Shape]","Please choose the best model of this office chair. [Texture]","Please choose the best model of this shoe. [Shape]","Please choose the best model of this shoe. [Texture]","Please choose the best model of this table clock. [Shape]","Please choose the best model of this table clock. [Texture]","Please choose the best model of this chandelier. [Shape]","Please choose the best model of this chandelier. [Texture]","Please choose the best model of this airplane model. [Shape]","Please choose the best model of this airplane model. [Texture]","Please choose the best model of this model car. [Shape]","Please choose the best model of this model car. [Texture]","Please choose the best model of this joystick. [Shape]","Please choose the best model of this joystick. [Texture]","Please choose the best model of this baseball. [Shape]","Please choose the best model of this baseball. [Texture]","Please choose the best model of this baseball glove.  [Shape]","Please choose the best model of this baseball glove.  [Texture]","Please choose the best model of this Eiffel Tower model. [Shape]","Please choose the best model of this Eiffel Tower model. [Texture]","Please choose the best model of this box. [Shape]","Please choose the best model of this box. [Texture]","Please choose the best model of this Jenga tower. [Shape]","Please choose the best model of this Jenga tower. [Texture]","Please choose the best model of this billiard ball. [Shape]","Please choose the best model of this billiard ball. [Texture]","Please choose the best model of this roulette wheel. [Shape]","Please choose the best model of this roulette wheel. [Texture]","Please choose the best model of this goat mascot. [Shape]","Please choose the best model of this goat mascot. [Texture]","Please choose the best model of this chair. [Shape]","Please choose the best model of this chair. [Texture]","Please choose the best model of this megaphone. [Shape]","Please choose the best model of this megaphone. [Texture]","Please choose the best model of these boxing gloves. [Shape]","Please choose the best model of these boxing gloves. [Texture]","Please choose the best model of this chess board. [Shape]","Please choose the best model of this chess board. [Texture]","Please choose the best model of this chess piece. [Shape]","Please choose the best model of this chess piece. [Texture]","Please choose the best model of this backpack. [Shape]","Please choose the best model of this backpack. [Texture]","Please choose the best model of this cat. [Shape]","Please choose the best model of this cat. [Texture]","Please choose the best model of this Christmas tree. [Shape]","Please choose the best model of this Christmas tree. [Texture]","Please choose the best model of this hat. [Shape]","Please choose the best model of this hat. [Texture]","Please choose the best model of these salt shakers. [Shape]","Please choose the best model of these salt shakers. [Texture]","Please choose the best model of this toy car. [Shape]","Please choose the best model of this toy car. [Texture]","Please choose the best model of this animal figure. [Shape]","Please choose the best model of this animal figure. [Texture]","Please choose the best model of this guitar. [Shape]","Please choose the best model of this guitar. [Texture]","Please choose the best model of this fire extinguisher. [Shape]","Please choose the best model of this fire extinguisher. [Texture]","Please choose the best model of this microphone. [Shape]","Please choose the best model of this microphone. [Texture]","Please choose the best model of this angle figure. [Shape]","Please choose the best model of this angle figure. [Texture]","Please choose the best model of this rocking horse. [Shape]","Please choose the best model of this rocking horse. [Texture]","Please choose the best model of this figure. [Shape]","Please choose the best model of this figure. [Texture]","Please choose the best model of this soccer ball. [Shape]","Please choose the best model of this soccer ball. [Texture]"
"2025/01/19 8:08:11 pm CET","IM","LGM","Gen3Diffusion","Gen3Diffusion","LGM","TriplaneGaussian","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","IM","Gen3Diffusion","Gen3Diffusion","Gen3Diffusion","IM","IM","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TriplaneGaussian","TriplaneGaussian","TripoSR","TripoSR","IM","IM","TripoSR","TripoSR","TripoSR","TripoSR","IM","IM","IM","TriplaneGaussian","IM","IM","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","TripoSR","IM","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TriplaneGaussian","TriplaneGaussian","TripoSR","TripoSR","IM","IM","IM","IM","TriplaneGaussian","TriplaneGaussian","TriplaneGaussian","TriplaneGaussian","IM","IM","IM","IM","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TriplaneGaussian","TriplaneGaussian","IM","IM"
"2025/01/20 9:36:05 am CET","Gen3Diffusion","LGM","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","IM","Gen3Diffusion","LGM","LGM","IM","IM","LGM","TriplaneGaussian","IM","IM","TripoSR","TripoSR","TripoSR","TripoSR","IM","IM","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","IM","TripoSR","TripoSR","IM","IM","TripoSR","TripoSR","IM","IM","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","IM","IM","TripoSR","TripoSR","LGM","LGM","Gen3Diffusion","Gen3Diffusion","IM","IM","TripoSR","TripoSR","LGM","LGM","LGM","LGM","IM","IM","IM","LGM","TripoSR","TripoSR","TriplaneGaussian","TriplaneGaussian","TriplaneGaussian","IM","TripoSR","TripoSR","IM","TripoSR","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","IM","Gen3Diffusion","LGM","LGM","IM","IM"
"2025/01/20 9:14:35 pm CET","LGM","LGM","Gen3Diffusion","TripoSR","LGM","TriplaneGaussian","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","IM","IM","LGM","LGM","IM","TripoSR","TripoSR","TriplaneGaussian","IM","TripoSR","TripoSR","IM","TripoSR","TripoSR","IM","TripoSR","TripoSR","TripoSR","IM","IM","IM","TriplaneGaussian","IM","TripoSR","TripoSR","TripoSR","IM","IM","TripoSR","IM","TriplaneGaussian","Gen3Diffusion","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","IM","LGM","IM","IM","TripoSR","IM","IM","Gen3Diffusion","IM","IM","TripoSR","TripoSR","LGM","LGM","IM","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TriplaneGaussian","TripoSR","TripoSR","TripoSR","IM","TripoSR","IM","IM","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","IM","IM","TriplaneGaussian","TriplaneGaussian","IM","IM"
"2025/01/20 9:20:12 pm CET","IM","IM","Gen3Diffusion","TripoSR","LGM","TriplaneGaussian","LGM","Gen3Diffusion","LGM","TripoSR","IM","IM","IM","IM","IM","TripoSR","TripoSR","LGM","IM","TripoSR","IM","TriplaneGaussian","TripoSR","IM","IM","IM","IM","IM","TripoSR","TripoSR","Gen3Diffusion","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","TripoSR","IM","IM","IM","TriplaneGaussian","Gen3Diffusion","IM","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","IM","Gen3Diffusion","IM","IM","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TriplaneGaussian","TripoSR","TriplaneGaussian","TripoSR","Gen3Diffusion","TripoSR","IM","TripoSR","LGM","TripoSR","IM","TripoSR","TripoSR","TriplaneGaussian","IM","IM","IM","TriplaneGaussian","TripoSR","IM","IM","Gen3Diffusion","Gen3Diffusion","TripoSR","IM","IM","Gen3Diffusion","TripoSR","TriplaneGaussian","TripoSR","TripoSR"
"2025/01/20 9:20:53 pm CET","IM","IM","TriplaneGaussian","TripoSR","LGM","LGM","Gen3Diffusion","Gen3Diffusion","TriplaneGaussian","Gen3Diffusion","IM","Gen3Diffusion","IM","IM","TriplaneGaussian","IM","TriplaneGaussian","TriplaneGaussian","TripoSR","Gen3Diffusion","IM","TripoSR","Gen3Diffusion","Gen3Diffusion","IM","TriplaneGaussian","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","IM","IM","TripoSR","IM","IM","IM","TripoSR","IM","IM","IM","Gen3Diffusion","TripoSR","TripoSR","TripoSR","IM","LGM","TripoSR","TripoSR","TriplaneGaussian","LGM","Gen3Diffusion","Gen3Diffusion","IM","TripoSR","TripoSR","TripoSR","TripoSR","IM","LGM","TripoSR","TripoSR","TripoSR","IM","IM","IM","IM","IM","TripoSR","TriplaneGaussian","TriplaneGaussian","TripoSR","TripoSR","IM","IM","TriplaneGaussian","TriplaneGaussian","TripoSR","IM","TripoSR","Gen3Diffusion","TriplaneGaussian","TriplaneGaussian","IM","IM"
"2025/01/20 10:03:51 pm CET","LGM","IM","Gen3Diffusion","TriplaneGaussian","TriplaneGaussian","LGM","TriplaneGaussian","Gen3Diffusion","TripoSR","TripoSR","IM","IM","IM","TripoSR","IM","TripoSR","TriplaneGaussian","IM","TripoSR","IM","TripoSR","IM","TripoSR","IM","IM","TriplaneGaussian","LGM","TripoSR","TripoSR","IM","TripoSR","TripoSR","Gen3Diffusion","IM","TripoSR","Gen3Diffusion","IM","IM","IM","TripoSR","IM","IM","Gen3Diffusion","LGM","TripoSR","TripoSR","Gen3Diffusion","IM","TripoSR","TripoSR","TriplaneGaussian","TriplaneGaussian","TriplaneGaussian","IM","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","Gen3Diffusion","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","IM","TripoSR","TripoSR","TripoSR","TripoSR","IM","IM","IM","IM","IM","Gen3Diffusion","Gen3Diffusion","Gen3Diffusion","TripoSR","Gen3Diffusion","Gen3Diffusion","IM","IM","TriplaneGaussian","Gen3Diffusion","TripoSR"
"2025/01/21 10:05:36 am CET","LGM","LGM","Gen3Diffusion","TriplaneGaussian","LGM","LGM","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","IM","IM","TripoSR","IM","IM","IM","TripoSR","TripoSR","IM","IM","IM","IM","IM","IM","LGM","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TriplaneGaussian","Gen3Diffusion","TripoSR","TripoSR","Gen3Diffusion","Gen3Diffusion","IM","IM","IM","IM","IM","IM","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","Gen3Diffusion","Gen3Diffusion","TriplaneGaussian","TripoSR","TripoSR","TripoSR","TripoSR","IM","TripoSR","IM","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","IM","IM","Gen3Diffusion","Gen3Diffusion","IM","IM","IM","IM","IM","IM","TriplaneGaussian","TriplaneGaussian","TripoSR","TripoSR","IM","IM","TriplaneGaussian","Gen3Diffusion","TripoSR","TripoSR"
"2025/01/21 6:13:45 pm CET","IM","LGM","TriplaneGaussian","Gen3Diffusion","LGM","LGM","Gen3Diffusion","TripoSR","TripoSR","TripoSR","IM","Gen3Diffusion","TripoSR","TripoSR","IM","IM","Gen3Diffusion","TripoSR","IM","IM","TripoSR","TripoSR","TripoSR","IM","TripoSR","TripoSR","TripoSR","TripoSR","IM","IM","TripoSR","TripoSR","Gen3Diffusion","IM","TripoSR","IM","IM","IM","TripoSR","IM","TriplaneGaussian","IM","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","LGM","TripoSR","TripoSR","IM","IM","LGM","Gen3Diffusion","TripoSR","IM","TripoSR","TripoSR","TripoSR","IM","IM","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TriplaneGaussian","TriplaneGaussian","TriplaneGaussian","TripoSR","LGM","IM","IM","IM","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TriplaneGaussian","IM","IM"
"2025/01/21 8:04:06 pm CET","LGM","IM","TripoSR","TripoSR","LGM","IM","LGM","Gen3Diffusion","LGM","LGM","IM","IM","LGM","LGM","IM","TripoSR","TriplaneGaussian","TriplaneGaussian","IM","IM","TripoSR","TripoSR","TripoSR","TripoSR","IM","IM","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","IM","IM","TripoSR","TripoSR","IM","IM","TripoSR","TripoSR","IM","IM","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","IM","IM","TripoSR","TripoSR","TripoSR","IM","TripoSR","TriplaneGaussian","TriplaneGaussian","TriplaneGaussian","TripoSR","TripoSR","TripoSR","TripoSR","TriplaneGaussian","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TriplaneGaussian","TriplaneGaussian","IM","IM","IM","IM","IM","TripoSR","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","Gen3Diffusion","Gen3Diffusion","TriplaneGaussian","TriplaneGaussian","TripoSR","TripoSR"
"2025/01/21 10:46:37 pm CET","IM","LGM","TripoSR","TripoSR","LGM","IM","IM","Gen3Diffusion","TripoSR","TripoSR","IM","Gen3Diffusion","Gen3Diffusion","IM","IM","IM","TriplaneGaussian","TriplaneGaussian","IM","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","IM","IM","TripoSR","TripoSR","TripoSR","Gen3Diffusion","Gen3Diffusion","Gen3Diffusion","TripoSR","Gen3Diffusion","IM","TripoSR","TripoSR","TriplaneGaussian","Gen3Diffusion","Gen3Diffusion","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","Gen3Diffusion","Gen3Diffusion","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","LGM","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","TripoSR","LGM","TripoSR","IM","IM","IM","TripoSR","TriplaneGaussian","TriplaneGaussian","TriplaneGaussian","TriplaneGaussian","TripoSR","TripoSR","TripoSR","TripoSR","Gen3Diffusion","Gen3Diffusion","TripoSR","TriplaneGaussian","IM","TripoSR","TriplaneGaussian","TriplaneGaussian","TripoSR","TripoSR"
